,0,1
Liu_et_al_2018,0.5975372315511739,0.09081976473501986
Sonnendecker_et_al_2021,0.2887535889216467,0.024553718106734023
Zeng_et_al_2022,0.8176067111492296,0.028086827564976137
Han_et_al_2017,0.1669361704547128,0.05341314286232642
Ma_et_al_2018,0.15162445364777624,0.04845582585309673
Zhang_et_al_2021,1.0,0.19100238492759414
Furukawa_et_al_2019,0.8537010561122647,0.021460890164895476
Joo_et_al_2018,0.7279486473688305,0.03318864740885117
Chen_et_al_2021,0.8352226396971117,0.004403006674399282
Sagong_et_al_2022,-0.8773197537579729,0.15191093161515054
Brott_et_al_2021,0.467414673288769,0.12614702282230553
Li_et_al_2022,0.6667020280084741,0.1583628180312095
Cui_et_al_2021,0.7545904635857195,0.024235338731123032
Then_et_al_2016,0.940404486301869,0.003251715827315561
Bell_et_al_2022,0.6352628712874899,0.24207171839291486
Son_et_al_2019,0.4119405351094883,0.015283846714765282
Guo_et_al_2022,-0.3772139617487848,0.01222691268760469
Wei_et_al_2016,0.8280086099380073,0.09413663071031003
Erickson_et_al_2022,0.5589234017364247,0.14813957976464995
Nakamura_et_al_2021,0.4112311620179507,0.15475724909253258
Wang_et_al_2022,0.8621743126482094,0.01862711868516243
Tournier_et_al_2020,-1.3651921535741698,0.6569968730452066
Xi_et_al_2021,1.0,0.07121650958653723
