,0,1
Son_et_al_2019,-0.2942980320172463,0.026306308496025294
Liu_et_al_2018,0.5000137179856535,0.01562745552952892
Brott_et_al_2021,0.7647328842025763,0.0
Erickson_et_al_2022,0.04330939401694319,0.05244717994100639
Tournier_et_al_2020,0.2457408690931196,0.023180121127929044
Sonnendecker_et_al_2021,0.7065994945288228,0.011291328681679492
Xi_et_al_2021,0.5,0.0
Han_et_al_2017,0.3636363636363637,0.11706181379477593
Bell_et_al_2022,0.8285714285714287,0.0
Cui_et_al_2021,0.8300410952434188,0.033603687955060045
Zhang_et_al_2021,1.0,0.0
Furukawa_et_al_2019,0.730601223963557,0.019728487860196764
Wang_et_al_2022,0.8066421453603515,0.032004442779365636
Ma_et_al_2018,-0.5333333333333333,0.023570226039551605
Chen_et_al_2021,-0.050310942272852745,0.12484625967474315
Zeng_et_al_2022,0.3329829329369604,0.03805384945467665
Guo_et_al_2022,0.16317619579539927,0.044625335578473486
Then_et_al_2016,0.47060485181697,0.05713388863348025
Wei_et_al_2016,0.8132864571815157,0.0481013060848558
Sagong_et_al_2022,-0.1785714285714286,0.12140522651411398
Nakamura_et_al_2021,0.552071026983169,0.05009241928056153
Li_et_al_2022,0.3571428571428572,0.022447834323382484
Joo_et_al_2018,0.7164951568756691,0.04031713934904403
